기준년도,시군명,지역교육청명,지역명,학교명,학교급명,설립구분명,제외여부,제외사유,초등1학년전입학생수(명),초등1학년전출학생수(명),초등1학년전체학생수(명),초등2학년전입학생수(명),초등2학년전출학생수(명),초등2학년전체학생수(명),초등3학년전입학생수(명),초등3학년전출학생수(명),초등3학년전체학생수(명),초등4학년전입학생수(명),초등4학년전출학생수(명),초등4학년전체학생수(명),초등5학년전입학생수(명),초등5학년전출학생수(명),초등5학년전체학생수(명),초등6학년전입학생수(명),초등6학년전출학생수(명),초등6학년전체학생수(명),중등1학년전입학생수(명),중등1학년전출학생수(명),중등1학년전체학생수(명),중등2학년전입학생수(명),중등2학년전출학생수(명),중등2학년전체학생수(명),중등3학년전입학생수(명),중등3학년전출학생수(명),중등3학년전체학생수(명),고등1학년전입학생수(명),고등1학년전출학생수(명),고등1학년전체학생수(명),고등2학년전입학생수(명),고등2학년전출학생수(명),고등2학년전체학생수(명),고등3학년전입학생수(명),고등3학년전출학생수(명),고등3학년전체학생수(명),전입학생수합계(명),전출학생수합계(명),전체학생수합계(명)
2019,남양주시,경기도교육청,경기도 남양주시,경은학교,,공립,N,,0,1,13,1,1,12,0,0,12,1,0,11,0,0,12,1,1,12,0,0,12,0,1,12,0,0,13,0,1,11,0,0,17,0,1,13,3,6,150
2019,부천시,경기도교육청,경기도 부천시,부천상록학교,,공립,N,,2,0,18,0,0,18,0,0,18,1,1,11,0,0,12,1,0,18,0,2,18,2,0,18,1,1,18,1,0,20,1,0,21,1,0,21,10,4,211
2019,부천시,경기도교육청,경기도 부천시,부천혜림학교,,사립,N,,0,0,6,0,0,6,1,1,6,4,0,5,1,0,6,2,0,6,1,1,5,0,1,5,1,0,6,0,0,6,0,0,7,0,0,9,10,3,73
2019,부천시,경기도교육청,경기도 부천시,부천혜림학교,,사립,N,,0,0,6,0,0,6,1,1,6,4,0,5,1,0,6,2,0,6,1,1,5,0,1,5,1,0,6,0,0,6,0,0,7,0,0,9,10,3,73
2019,부천시,경기도교육청,경기도 부천시,부천상록학교,,공립,N,,2,0,18,0,0,18,0,0,18,1,1,11,0,0,12,1,0,18,0,2,18,2,0,18,1,1,18,1,0,20,1,0,21,1,0,21,10,4,211
2019,성남시,경기도교육청,경기도 성남시 분당구,성은학교,,공립,N,,0,1,12,2,1,12,0,0,6,1,1,8,0,1,12,0,0,6,0,0,17,0,0,14,0,0,16,0,0,21,1,0,9,0,0,20,4,4,153
2019,성남시,경기도교육청,경기도 성남시 수정구,성남혜은학교,,공립,N,,1,1,11,0,0,6,0,0,5,0,0,6,0,0,12,0,0,6,2,0,11,0,0,11,1,0,9,1,0,17,0,1,17,0,0,25,5,2,136
2019,성남시,경기도교육청,경기도 성남시 분당구,성은학교,,공립,N,,0,1,12,2,1,12,0,0,6,1,1,8,0,1,12,0,0,6,0,0,17,0,0,14,0,0,16,0,0,21,1,0,9,0,0,20,4,4,153
2019,성남시,경기도교육청,경기도 성남시 수정구,성남혜은학교,,공립,N,,1,1,11,0,0,6,0,0,5,0,0,6,0,0,12,0,0,6,2,0,11,0,0,11,1,0,9,1,0,17,0,1,17,0,0,25,5,2,136
2019,수원시,경기도교육청,경기도 수원시 영통구,아름학교,,공립,N,,0,0,8,0,1,11,0,0,7,0,0,7,1,0,10,0,0,8,0,0,19,2,0,14,1,1,20,0,0,22,0,1,19,0,0,20,4,3,165
2019,수원시,경기도교육청,경기도 수원시 권선구,자혜학교,,사립,N,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,1,3,0,0,6,0,0,5,0,0,7,0,0,6,2,1,33
2019,수원시,경기도교육청,경기도 수원시 장안구,수원서광학교,,사립,N,,0,0,11,0,0,12,0,1,12,1,1,12,0,0,12,0,1,11,1,1,10,0,0,11,0,0,12,0,0,12,1,0,12,0,0,13,3,4,140
2019,수원시,경기도교육청,경기도 수원시 장안구,수원서광학교,,사립,N,,0,0,11,0,0,12,0,1,12,1,1,12,0,0,12,0,1,11,1,1,10,0,0,11,0,0,12,0,0,12,1,0,12,0,0,13,3,4,140
2019,수원시,경기도교육청,경기도 수원시 영통구,아름학교,,공립,N,,0,0,8,0,1,11,0,0,7,0,0,7,1,0,10,0,0,8,0,0,19,2,0,14,1,1,20,0,0,22,0,1,19,0,0,20,4,3,165
2019,수원시,경기도교육청,경기도 수원시 권선구,자혜학교,,사립,N,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,1,3,0,0,6,0,0,5,0,0,7,0,0,6,2,1,33
2019,안산시,경기도교육청,경기도 안산시 상록구,명혜학교,,사립,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,11,0,0,13,2,1,12,0,0,14,0,0,14,3,1,76
2019,안산시,교육부,경기도 안산시 상록구,한국선진학교,,국립,N,,12,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0,0,13,1,1,12,0,0,14,0,1,14,0,0,14,13,2,151
2019,안산시,경기도교육청,경기도 안산시 상록구,명혜학교,,사립,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,11,0,0,13,2,1,12,0,0,14,0,0,14,3,1,76
2019,안산시,교육부,경기도 안산시 상록구,한국선진학교,,국립,N,,12,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0,0,13,1,1,12,0,0,14,0,1,14,0,0,14,13,2,151
2019,안성시,경기도교육청,경기도 안성시,한길학교,,사립,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,4,0,0,6,0,0,8,0,2,7,0,0,6,1,2,37
2019,안성시,경기도교육청,경기도 안성시,한길학교,,사립,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,4,0,0,6,0,0,8,0,2,7,0,0,6,1,2,37
2019,안양시,경기도교육청,경기도 안양시 만안구,안양해솔학교,,공립,N,,0,0,12,1,1,12,2,0,9,0,0,12,1,0,12,0,0,12,0,0,13,1,1,15,0,0,19,0,2,19,1,0,18,1,1,19,7,5,172
2019,안양시,경기도교육청,경기도 안양시 만안구,안양해솔학교,,공립,N,,0,0,12,1,1,12,2,0,9,0,0,12,1,0,12,0,0,12,0,0,13,1,1,15,0,0,19,0,2,19,1,0,18,1,1,19,7,5,172
2019,양주시,경기도교육청,경기도 양주시,양주도담학교,,공립,N,,5,0,0,10,0,0,9,0,0,6,0,0,7,1,0,8,0,0,5,0,0,6,0,0,4,0,0,5,0,0,3,0,0,1,0,0,69,1,0
2019,양주시,경기도교육청,경기도 양주시,양주도담학교,,공립,N,,5,0,0,10,0,0,9,0,0,6,0,0,7,1,0,8,0,0,5,0,0,6,0,0,4,0,0,5,0,0,3,0,0,1,0,0,69,1,0
2019,양평군,경기도교육청,경기도 양평군,창인학교,,사립,N,,0,0,2,0,0,4,0,0,5,1,0,6,0,0,6,0,1,6,1,0,7,0,0,13,0,1,10,0,0,9,0,0,10,0,0,9,2,2,87
